Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
240.12	0.97036	15.468	0.064649	4.3073	4.3701	20.389	45.323	85.657	872.25	-0.079637	87.847	0.11722	0.0077155	0.58197	1.7183	14.599	16.266	69.932	41.762	59.476	252.11	22.543	7.6081	0.016012
240.48	0.98113	15.448	0.064732	4.3373	4.4008	20.514	45.349	85.796	869.25	-0.075477	87.485	0.11692	0.0076639	0.58845	1.6994	14.606	16.273	69.884	41.824	59.648	252.02	22.482	7.6219	0.016070
240.84	0.99200	15.428	0.064815	4.3674	4.4317	20.639	45.375	85.935	866.24	-0.071274	87.124	0.11662	0.0076123	0.59500	1.6807	14.613	16.280	69.837	41.886	59.823	251.92	22.421	7.6357	0.016129
241.19	1.0029	15.409	0.064899	4.3975	4.4626	20.764	45.401	86.076	863.23	-0.067028	86.764	0.11633	0.0075607	0.60160	1.6622	14.620	16.287	69.789	41.948	59.999	251.82	22.361	7.6496	0.016187
241.55	1.0140	15.389	0.064983	4.4276	4.4935	20.890	45.428	86.219	860.22	-0.062738	86.405	0.11603	0.0075092	0.60826	1.6440	14.627	16.294	69.741	42.011	60.176	251.72	22.301	7.6636	0.016247
241.91	1.0251	15.369	0.065068	4.4577	4.5245	21.015	45.455	86.362	857.21	-0.058403	86.047	0.11573	0.0074578	0.61499	1.6260	14.633	16.300	69.693	42.073	60.356	251.62	22.241	7.6776	0.016306
242.27	1.0363	15.349	0.065153	4.4880	4.5555	21.140	45.481	86.507	854.19	-0.054024	85.691	0.11543	0.0074064	0.62177	1.6083	14.640	16.307	69.645	42.136	60.537	251.51	22.183	7.6916	0.016365
242.63	1.0476	15.328	0.065238	4.5182	4.5865	21.265	45.508	86.654	851.17	-0.049598	85.336	0.11514	0.0073551	0.62862	1.5908	14.647	16.313	69.598	42.199	60.720	251.41	22.124	7.7057	0.016425
242.99	1.0590	15.308	0.065324	4.5485	4.6177	21.390	45.536	86.802	848.15	-0.045126	84.981	0.11484	0.0073038	0.63554	1.5735	14.654	16.320	69.550	42.262	60.905	251.30	22.066	7.7199	0.016486
243.34	1.0705	15.288	0.065411	4.5788	4.6488	21.515	45.563	86.951	845.12	-0.040607	84.628	0.11454	0.0072526	0.64251	1.5564	14.660	16.326	69.503	42.326	61.092	251.19	22.009	7.7341	0.016546
243.70	1.0821	15.268	0.065498	4.6092	4.6800	21.640	45.591	87.102	842.09	-0.036040	84.276	0.11425	0.0072014	0.64956	1.5395	14.667	16.333	69.455	42.389	61.280	251.08	21.952	7.7484	0.016607
244.06	1.0938	15.247	0.065585	4.6396	4.7113	21.765	45.619	87.254	839.06	-0.031424	83.925	0.11395	0.0071503	0.65666	1.5229	14.673	16.339	69.408	42.453	61.471	250.96	21.895	7.7627	0.016669
244.42	1.1055	15.227	0.065673	4.6700	4.7426	21.890	45.647	87.408	836.02	-0.026759	83.576	0.11366	0.0070992	0.66383	1.5064	14.680	16.345	69.360	42.517	61.664	250.85	21.839	7.7771	0.016730
244.78	1.1174	15.206	0.065761	4.7005	4.7740	22.015	45.675	87.564	832.99	-0.022043	83.227	0.11336	0.0070482	0.67107	1.4902	14.686	16.351	69.313	42.582	61.858	250.73	21.783	7.7916	0.016792
245.13	1.1293	15.186	0.065850	4.7310	4.8054	22.140	45.703	87.721	829.95	-0.017276	82.879	0.11307	0.0069973	0.67838	1.4741	14.693	16.357	69.266	42.646	62.055	250.61	21.728	7.8062	0.016855
