Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
472.72	3.9948	17.175	0.058226	15.657	15.890	38.516	104.57	168.25	453.71	0.59171	83.195	0.16763	0.0045388	1.6111	0.62071	33.390	35.869	80.781	130.44	257.96	277.81	14.300	14.955	0.050090
473.28	4.0372	17.129	0.058379	15.744	15.980	38.702	104.72	169.23	450.63	0.60497	82.669	0.16754	0.0044694	1.6317	0.61286	33.384	35.858	80.702	130.05	258.53	277.15	14.242	14.991	0.050409
473.85	4.0799	17.084	0.058535	15.832	16.071	38.889	104.88	170.24	447.54	0.61856	82.145	0.16745	0.0043999	1.6527	0.60509	33.378	35.846	80.622	129.67	259.23	276.48	14.189	15.028	0.050735
474.41	4.1230	17.038	0.058693	15.920	16.162	39.076	105.03	171.28	444.42	0.63251	81.622	0.16736	0.0043305	1.6740	0.59738	33.371	35.834	80.541	129.30	260.08	275.78	14.140	15.066	0.051070
474.97	4.1664	16.991	0.058854	16.009	16.254	39.264	105.19	172.34	441.28	0.64683	81.100	0.16727	0.0042611	1.6957	0.58974	33.363	35.820	80.459	128.93	261.08	275.06	14.097	15.105	0.051413
475.53	4.2101	16.944	0.059017	16.098	16.346	39.452	105.34	173.44	438.12	0.66154	80.579	0.16717	0.0041917	1.7177	0.58216	33.355	35.806	80.375	128.57	262.26	274.33	14.058	15.145	0.051765
476.09	4.2542	16.897	0.059182	16.187	16.439	39.641	105.50	174.57	434.94	0.67665	80.059	0.16708	0.0041223	1.7402	0.57463	33.346	35.791	80.290	128.22	263.62	273.57	14.024	15.185	0.052128
476.65	4.2987	16.849	0.059351	16.277	16.532	39.831	105.66	175.73	431.74	0.69219	79.540	0.16699	0.0040528	1.7632	0.56716	33.337	35.775	80.202	127.89	265.18	272.80	13.995	15.227	0.052501
477.22	4.3435	16.801	0.059521	16.367	16.625	40.022	105.83	176.92	428.51	0.70816	79.021	0.16690	0.0039835	1.7866	0.55973	33.326	35.757	80.113	127.56	266.96	272.01	13.970	15.269	0.052886
477.78	4.3887	16.752	0.059695	16.457	16.719	40.213	105.99	178.16	425.25	0.72460	78.504	0.16680	0.0039141	1.8104	0.55235	33.315	35.739	80.021	127.25	268.97	271.19	13.950	15.313	0.053284
478.34	4.4343	16.702	0.059871	16.548	16.814	40.405	106.16	179.43	421.98	0.74153	77.987	0.16671	0.0038447	1.8348	0.54501	33.302	35.719	79.928	126.96	271.24	270.37	13.933	15.357	0.053695
478.90	4.4803	16.653	0.060051	16.640	16.909	40.597	106.32	180.74	418.67	0.75896	77.471	0.16662	0.0037754	1.8597	0.53771	33.289	35.698	79.831	126.68	273.77	269.52	13.920	15.403	0.054121
479.46	4.5266	16.602	0.060233	16.731	17.004	40.791	106.49	182.10	415.34	0.77693	76.956	0.16653	0.0037061	1.8852	0.53044	33.274	35.675	79.732	126.42	276.60	268.66	13.911	15.450	0.054563
480.02	4.5733	16.551	0.060419	16.824	17.100	40.985	106.66	183.51	411.98	0.79546	76.441	0.16643	0.0036369	1.9113	0.52320	33.258	35.650	79.630	126.17	279.74	267.79	13.904	15.498	0.055023
480.59	4.6204	16.499	0.060608	16.916	17.196	41.180	106.84	184.96	408.59	0.81458	75.926	0.16634	0.0035676	1.9380	0.51599	33.240	35.624	79.524	125.95	283.20	266.90	13.899	15.547	0.055500
