Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
94.115	0.15000	35.046	0.028534	-4.0568	-4.0525	96.455	29.268	54.775	871.79	-0.29703	175.96	0.14515	0.012170	0.20023	4.9943	1.8891	2.6382	167.55	21.520	31.327	180.39	21.675	7.2600	0.0086049
94.282	0.15240	35.020	0.028555	-4.0477	-4.0433	96.552	29.249	54.794	870.39	-0.29631	175.22	0.14491	0.012129	0.20318	4.9217	1.8917	2.6418	167.46	21.518	31.343	180.50	21.609	7.2733	0.0086249
94.449	0.15484	34.993	0.028577	-4.0385	-4.0341	96.649	29.230	54.814	869.00	-0.29558	174.49	0.14467	0.012088	0.20617	4.8503	1.8944	2.6454	167.37	21.517	31.360	180.62	21.545	7.2865	0.0086450
94.616	0.15730	34.967	0.028599	-4.0294	-4.0249	96.746	29.212	54.834	867.61	-0.29486	173.77	0.14442	0.012047	0.20919	4.7803	1.8970	2.6490	167.28	21.516	31.378	180.73	21.481	7.2997	0.0086650
94.783	0.15980	34.940	0.028621	-4.0203	-4.0157	96.842	29.193	54.854	866.21	-0.29412	173.05	0.14418	0.012006	0.21225	4.7115	1.8997	2.6525	167.19	21.515	31.396	180.85	21.419	7.3129	0.0086851
94.950	0.16232	34.913	0.028642	-4.0112	-4.0065	96.938	29.174	54.874	864.81	-0.29338	172.33	0.14394	0.011965	0.21534	4.6439	1.9023	2.6561	167.11	21.515	31.414	180.96	21.357	7.3261	0.0087053
95.117	0.16488	34.887	0.028664	-4.0020	-3.9973	97.034	29.156	54.895	863.42	-0.29263	171.62	0.14369	0.011924	0.21846	4.5775	1.9049	2.6596	167.02	21.514	31.433	181.07	21.295	7.3393	0.0087255
95.284	0.16746	34.860	0.028686	-3.9929	-3.9881	97.130	29.137	54.915	862.02	-0.29188	170.91	0.14345	0.011883	0.22162	4.5123	1.9075	2.6631	166.93	21.514	31.453	181.19	21.235	7.3526	0.0087457
95.451	0.17008	34.833	0.028708	-3.9838	-3.9789	97.226	29.119	54.936	860.62	-0.29112	170.21	0.14321	0.011842	0.22481	4.4483	1.9101	2.6667	166.85	21.514	31.473	181.30	21.175	7.3658	0.0087660
95.618	0.17273	34.806	0.028730	-3.9746	-3.9697	97.322	29.101	54.958	859.22	-0.29036	169.51	0.14297	0.011801	0.22803	4.3854	1.9127	2.6702	166.76	21.515	31.493	181.41	21.116	7.3790	0.0087863
95.785	0.17540	34.779	0.028753	-3.9655	-3.9604	97.417	29.082	54.979	857.82	-0.28959	168.81	0.14272	0.011760	0.23129	4.3236	1.9153	2.6736	166.68	21.515	31.514	181.52	21.057	7.3923	0.0088067
95.952	0.17811	34.753	0.028775	-3.9563	-3.9512	97.513	29.064	55.001	856.42	-0.28881	168.12	0.14248	0.011719	0.23458	4.2629	1.9178	2.6771	166.59	21.516	31.535	181.63	21.000	7.4055	0.0088271
96.119	0.18085	34.726	0.028797	-3.9472	-3.9420	97.608	29.046	55.023	855.02	-0.28803	167.44	0.14224	0.011678	0.23791	4.2032	1.9204	2.6806	166.51	21.517	31.557	181.74	20.943	7.4188	0.0088476
96.286	0.18363	34.699	0.028820	-3.9380	-3.9327	97.703	29.028	55.045	853.61	-0.28724	166.75	0.14199	0.011637	0.24128	4.1446	1.9230	2.6840	166.42	21.518	31.579	181.84	20.886	7.4320	0.0088681
96.453	0.18643	34.672	0.028842	-3.9289	-3.9235	97.798	29.009	55.067	852.21	-0.28645	166.07	0.14175	0.011596	0.24468	4.0870	1.9255	2.6874	166.34	21.520	31.602	181.95	20.830	7.4453	0.0088886
96.620	0.18927	34.645	0.028864	-3.9197	-3.9143	97.893	28.991	55.090	850.81	-0.28565	165.40	0.14150	0.011556	0.24812	4.0304	1.9280	2.6908	166.25	21.522	31.625	182.06	20.775	7.4586	0.0089092
96.787	0.19214	34.618	0.028887	-3.9106	-3.9050	97.988	28.973	55.112	849.40	-0.28484	164.73	0.14126	0.011515	0.25159	3.9747	1.9305	2.6942	166.17	21.523	31.649	182.16	20.720	7.4718	0.0089299
96.955	0.19504	34.591	0.028910	-3.9014	-3.8958	98.083	28.955	55.135	847.99	-0.28403	164.06	0.14102	0.011474	0.25510	3.9200	1.9331	2.6976	166.09	21.526	31.673	182.27	20.666	7.4851	0.0089505
97.122	0.19798	34.564	0.028932	-3.8922	-3.8865	98.177	28.937	55.159	846.59	-0.28321	163.40	0.14077	0.011433	0.25865	3.8663	1.9356	2.7010	166.00	21.528	31.698	182.37	20.612	7.4984	0.0089713
97.289	0.20095	34.536	0.028955	-3.8831	-3.8772	98.272	28.919	55.182	845.18	-0.28238	162.74	0.14053	0.011393	0.26223	3.8135	1.9381	2.7044	165.92	21.531	31.723	182.48	20.559	7.5117	0.0089920
97.456	0.20395	34.509	0.028978	-3.8739	-3.8680	98.366	28.902	55.206	843.77	-0.28155	162.09	0.14029	0.011352	0.26585	3.7615	1.9405	2.7077	165.84	21.533	31.749	182.58	20.506	7.5249	0.0090129
97.623	0.20699	34.482	0.029001	-3.8647	-3.8587	98.460	28.884	55.230	842.36	-0.28071	161.44	0.14004	0.011311	0.26951	3.7105	1.9430	2.7110	165.76	21.537	31.775	182.68	20.454	7.5382	0.0090337
97.790	0.21006	34.455	0.029023	-3.8555	-3.8494	98.554	28.866	55.254	840.95	-0.27986	160.79	0.13980	0.011271	0.27320	3.6603	1.9455	2.7144	165.68	21.540	31.802	182.78	20.402	7.5515	0.0090547
97.957	0.21316	34.428	0.029046	-3.8463	-3.8401	98.648	28.848	55.279	839.54	-0.27901	160.14	0.13955	0.011230	0.27694	3.6109	1.9479	2.7177	165.59	21.543	31.829	182.88	20.351	7.5648	0.0090756
98.124	0.21630	34.400	0.029069	-3.8371	-3.8309	98.742	28.831	55.303	838.13	-0.27815	159.50	0.13931	0.011190	0.28071	3.5624	1.9504	2.7209	165.51	21.547	31.857	182.98	20.300	7.5781	0.0090966
98.291	0.21947	34.373	0.029093	-3.8280	-3.8216	98.835	28.813	55.328	836.71	-0.27729	158.87	0.13907	0.011149	0.28452	3.5147	1.9528	2.7242	165.43	21.551	31.885	183.08	20.249	7.5915	0.0091177
98.458	0.22268	34.346	0.029116	-3.8188	-3.8123	98.929	28.795	55.354	835.30	-0.27641	158.23	0.13882	0.011108	0.28837	3.4678	1.9553	2.7275	165.35	21.555	31.914	183.18	20.199	7.6048	0.0091388
98.625	0.22593	34.318	0.029139	-3.8096	-3.8030	99.022	28.778	55.379	833.88	-0.27554	157.61	0.13858	0.011068	0.29226	3.4217	1.9577	2.7307	165.27	21.560	31.943	183.28	20.149	7.6181	0.0091600
98.792	0.22921	34.291	0.029162	-3.8004	-3.7937	99.116	28.760	55.405	832.47	-0.27465	156.98	0.13833	0.011028	0.29618	3.3763	1.9601	2.7339	165.19	21.565	31.973	183.38	20.100	7.6314	0.0091812
98.959	0.23252	34.263	0.029186	-3.7912	-3.7844	99.209	28.743	55.431	831.05	-0.27376	156.36	0.13809	0.010987	0.30015	3.3317	1.9625	2.7372	165.11	21.569	32.004	183.47	20.051	7.6448	0.0092025
