Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
85.737	0.15768	27.669	0.036142	0.24250	0.24820	2.9422	31.198	60.540	826.63	-0.29549	143.37	0.13276	0.0086495	0.23444	4.2655	5.4243	6.0968	71.158	22.174	32.709	182.39	25.536	5.8109	0.0075105
85.845	0.15942	27.652	0.036164	0.24899	0.25476	3.0180	31.179	60.556	825.55	-0.29470	142.85	0.13256	0.0086268	0.23685	4.2221	5.4258	6.0989	71.096	22.184	32.739	182.45	25.477	5.8195	0.0075228
85.952	0.16118	27.634	0.036187	0.25549	0.26132	3.0936	31.159	60.571	824.47	-0.29391	142.34	0.13237	0.0086041	0.23928	4.1792	5.4273	6.1009	71.034	22.194	32.770	182.51	25.418	5.8281	0.0075352
86.060	0.16296	27.617	0.036210	0.26198	0.26789	3.1692	31.139	60.586	823.39	-0.29312	141.82	0.13217	0.0085814	0.24173	4.1369	5.4289	6.1030	70.972	22.205	32.800	182.58	25.359	5.8367	0.0075477
86.168	0.16475	27.599	0.036233	0.26848	0.27445	3.2447	31.120	60.602	822.31	-0.29232	141.31	0.13197	0.0085587	0.24419	4.0951	5.4304	6.1051	70.910	22.215	32.831	182.64	25.301	5.8453	0.0075601
86.276	0.16655	27.582	0.036256	0.27498	0.28102	3.3201	31.101	60.618	821.23	-0.29152	140.81	0.13178	0.0085360	0.24668	4.0538	5.4319	6.1071	70.848	22.225	32.862	182.71	25.243	5.8540	0.0075726
86.384	0.16837	27.564	0.036279	0.28148	0.28759	3.3954	31.081	60.634	820.15	-0.29071	140.30	0.13158	0.0085134	0.24918	4.0131	5.4334	6.1091	70.787	22.236	32.893	182.77	25.185	5.8626	0.0075851
86.492	0.17021	27.547	0.036302	0.28798	0.29416	3.4707	31.062	60.650	819.07	-0.28989	139.80	0.13138	0.0084907	0.25171	3.9729	5.4349	6.1112	70.726	22.246	32.924	182.83	25.127	5.8713	0.0075977
86.599	0.17206	27.529	0.036325	0.29448	0.30073	3.5459	31.043	60.667	817.99	-0.28907	139.30	0.13119	0.0084680	0.25425	3.9331	5.4365	6.1132	70.665	22.257	32.955	182.89	25.070	5.8799	0.0076102
86.707	0.17392	27.512	0.036348	0.30099	0.30731	3.6210	31.023	60.683	816.90	-0.28825	138.80	0.13099	0.0084454	0.25681	3.8939	5.4380	6.1152	70.604	22.267	32.987	182.95	25.012	5.8886	0.0076228
86.815	0.17580	27.494	0.036371	0.30749	0.31389	3.6960	31.004	60.700	815.82	-0.28742	138.31	0.13079	0.0084227	0.25939	3.8552	5.4395	6.1172	70.543	22.278	33.019	183.02	24.955	5.8973	0.0076354
86.923	0.17770	27.477	0.036395	0.31400	0.32047	3.7709	30.985	60.717	814.74	-0.28658	137.82	0.13060	0.0084001	0.26199	3.8169	5.4410	6.1192	70.482	22.288	33.051	183.08	24.899	5.9060	0.0076481
87.031	0.17961	27.459	0.036418	0.32051	0.32705	3.8458	30.966	60.734	813.65	-0.28574	137.33	0.13040	0.0083774	0.26461	3.7791	5.4424	6.1212	70.422	22.299	33.083	183.14	24.842	5.9147	0.0076607
87.139	0.18154	27.441	0.036441	0.32701	0.33363	3.9206	30.947	60.752	812.57	-0.28490	136.84	0.13020	0.0083548	0.26725	3.7418	5.4439	6.1232	70.361	22.310	33.116	183.20	24.786	5.9234	0.0076734
87.246	0.18348	27.424	0.036465	0.33353	0.34022	3.9953	30.928	60.769	811.48	-0.28404	136.36	0.13001	0.0083322	0.26991	3.7049	5.4454	6.1252	70.301	22.321	33.149	183.26	24.730	5.9321	0.0076861
87.354	0.18543	27.406	0.036488	0.34004	0.34680	4.0700	30.909	60.787	810.40	-0.28319	135.88	0.12981	0.0083096	0.27259	3.6685	5.4469	6.1271	70.241	22.331	33.181	183.32	24.674	5.9409	0.0076989
87.462	0.18741	27.388	0.036512	0.34655	0.35339	4.1445	30.891	60.805	809.31	-0.28232	135.40	0.12962	0.0082870	0.27529	3.6325	5.4484	6.1291	70.181	22.342	33.215	183.38	24.619	5.9496	0.0077116
87.570	0.18939	27.371	0.036535	0.35307	0.35999	4.2190	30.872	60.824	808.23	-0.28145	134.92	0.12942	0.0082644	0.27801	3.5970	5.4498	6.1311	70.122	22.353	33.248	183.43	24.564	5.9584	0.0077244
87.678	0.19140	27.353	0.036559	0.35958	0.36658	4.2934	30.853	60.842	807.14	-0.28058	134.45	0.12922	0.0082418	0.28075	3.5619	5.4513	6.1330	70.062	22.364	33.281	183.49	24.509	5.9671	0.0077372
