Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
227.68	0.81683	25.848	0.038688	4.4546	4.4862	27.232	42.231	87.462	895.84	-0.098598	210.71	0.16341	0.013918	0.48480	2.0627	17.415	19.100	91.419	29.155	43.401	223.57	22.889	11.454	0.012169
227.83	0.82146	25.835	0.038707	4.4672	4.4990	27.287	42.223	87.488	894.79	-0.097891	210.20	0.16323	0.013885	0.48747	2.0514	17.417	19.102	91.385	29.176	43.453	223.57	22.851	11.462	0.012184
227.97	0.82612	25.823	0.038726	4.4798	4.5118	27.342	42.214	87.513	893.73	-0.097182	209.70	0.16305	0.013851	0.49016	2.0401	17.418	19.104	91.350	29.196	43.505	223.57	22.812	11.470	0.012199
228.12	0.83080	25.810	0.038745	4.4924	4.5246	27.398	42.206	87.539	892.68	-0.096470	209.20	0.16288	0.013818	0.49286	2.0290	17.420	19.106	91.316	29.217	43.557	223.57	22.774	11.477	0.012214
228.26	0.83549	25.797	0.038764	4.5050	4.5374	27.453	42.198	87.565	891.63	-0.095754	208.70	0.16270	0.013785	0.49558	2.0179	17.421	19.107	91.282	29.238	43.609	223.57	22.736	11.485	0.012229
228.41	0.84021	25.785	0.038783	4.5177	4.5502	27.509	42.190	87.591	890.58	-0.095036	208.20	0.16252	0.013752	0.49830	2.0068	17.423	19.109	91.248	29.259	43.661	223.57	22.697	11.492	0.012244
228.56	0.84494	25.772	0.038802	4.5303	4.5631	27.564	42.182	87.617	889.52	-0.094314	207.70	0.16234	0.013718	0.50103	1.9959	17.424	19.111	91.214	29.279	43.713	223.58	22.659	11.500	0.012259
228.70	0.84970	25.759	0.038821	4.5429	4.5759	27.619	42.174	87.644	888.47	-0.093589	207.20	0.16216	0.013685	0.50378	1.9850	17.426	19.112	91.180	29.300	43.766	223.58	22.621	11.508	0.012274
228.85	0.85447	25.747	0.038840	4.5555	4.5887	27.674	42.166	87.670	887.42	-0.092861	206.71	0.16198	0.013652	0.50654	1.9742	17.427	19.114	91.146	29.321	43.819	223.58	22.584	11.515	0.012290
228.99	0.85927	25.734	0.038859	4.5682	4.6015	27.730	42.158	87.697	886.36	-0.092130	206.22	0.16181	0.013619	0.50931	1.9634	17.428	19.116	91.112	29.342	43.872	223.58	22.546	11.523	0.012305
