Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
71.451	0.047455	29.709	0.033660	-3.7564	-3.7548	74.893	31.382	56.550	911.11	-0.37303	206.06	0.15662	0.010236	0.081928	12.206	1.4479	2.0271	155.81	21.298	30.488	169.81	31.524	4.9925	0.0065144
71.556	0.048157	29.693	0.033678	-3.7505	-3.7489	74.976	31.363	56.559	910.05	-0.37254	205.09	0.15641	0.010212	0.083042	12.042	1.4497	2.0296	155.73	21.302	30.503	169.91	31.433	5.0004	0.0065260
71.662	0.048868	29.677	0.033697	-3.7446	-3.7429	75.059	31.344	56.568	908.99	-0.37206	204.13	0.15620	0.010187	0.084167	11.881	1.4516	2.0322	155.65	21.307	30.517	170.01	31.343	5.0083	0.0065377
71.767	0.049587	29.660	0.033715	-3.7386	-3.7370	75.141	31.325	56.577	907.93	-0.37156	203.17	0.15599	0.010163	0.085303	11.723	1.4534	2.0347	155.56	21.312	30.532	170.11	31.253	5.0162	0.0065493
71.872	0.050314	29.644	0.033734	-3.7327	-3.7310	75.224	31.306	56.586	906.87	-0.37107	202.22	0.15578	0.010139	0.086452	11.567	1.4552	2.0372	155.48	21.317	30.547	170.20	31.163	5.0242	0.0065610
71.977	0.051049	29.628	0.033752	-3.7268	-3.7250	75.307	31.287	56.595	905.81	-0.37057	201.28	0.15557	0.010114	0.087612	11.414	1.4570	2.0397	155.40	21.322	30.561	170.30	31.074	5.0321	0.0065727
72.082	0.051793	29.611	0.033771	-3.7208	-3.7191	75.389	31.269	56.605	904.75	-0.37008	200.34	0.15536	0.010090	0.088784	11.263	1.4589	2.0422	155.32	21.326	30.576	170.40	30.985	5.0400	0.0065843
72.187	0.052545	29.595	0.033789	-3.7149	-3.7131	75.471	31.250	56.614	903.69	-0.36957	199.41	0.15515	0.010065	0.089968	11.115	1.4607	2.0447	155.23	21.331	30.592	170.49	30.897	5.0480	0.0065960
72.292	0.053305	29.579	0.033808	-3.7090	-3.7072	75.553	31.231	56.624	902.63	-0.36907	198.49	0.15494	0.010041	0.091164	10.969	1.4625	2.0472	155.15	21.336	30.607	170.59	30.810	5.0559	0.0066077
72.397	0.054074	29.562	0.033827	-3.7030	-3.7012	75.636	31.213	56.633	901.57	-0.36856	197.57	0.15473	0.010017	0.092372	10.826	1.4643	2.0497	155.07	21.341	30.622	170.68	30.722	5.0639	0.0066195
