Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
141.96	0.70865	23.269	0.042975	1.7466	1.7770	13.860	31.111	61.782	1015.3	-0.19263	64.943	0.14062	0.0072068	0.69709	1.4345	7.8073	8.8239	63.500	27.706	42.651	286.16	19.400	5.4713	0.016507
142.13	0.71461	23.250	0.043010	1.7567	1.7874	13.932	31.103	61.837	1013.4	-0.19058	64.743	0.14038	0.0071768	0.70278	1.4229	7.8093	8.8261	63.456	27.719	42.720	286.17	19.365	5.4783	0.016542
142.29	0.72060	23.231	0.043045	1.7667	1.7978	14.003	31.096	61.892	1011.5	-0.18852	64.544	0.14014	0.0071469	0.70850	1.4114	7.8112	8.8283	63.411	27.733	42.788	286.19	19.331	5.4852	0.016577
142.46	0.72663	23.212	0.043081	1.7768	1.8081	14.074	31.088	61.947	1009.6	-0.18644	64.345	0.13991	0.0071170	0.71426	1.4000	7.8131	8.8304	63.367	27.747	42.858	286.20	19.297	5.4922	0.016613
142.63	0.73269	23.193	0.043116	1.7869	1.8185	14.145	31.080	62.002	1007.7	-0.18434	64.147	0.13967	0.0070872	0.72006	1.3888	7.8150	8.8325	63.322	27.761	42.928	286.21	19.262	5.4992	0.016648
142.79	0.73879	23.174	0.043152	1.7970	1.8289	14.216	31.072	62.058	1005.8	-0.18223	63.949	0.13943	0.0070573	0.72590	1.3776	7.8169	8.8346	63.278	27.775	42.998	286.22	19.228	5.5062	0.016684
142.96	0.74493	23.155	0.043188	1.8071	1.8393	14.287	31.065	62.115	1003.8	-0.18011	63.752	0.13920	0.0070275	0.73177	1.3666	7.8187	8.8367	63.233	27.789	43.069	286.24	19.194	5.5132	0.016719
143.13	0.75111	23.136	0.043224	1.8173	1.8497	14.358	31.057	62.171	1001.9	-0.17797	63.556	0.13896	0.0069977	0.73768	1.3556	7.8206	8.8388	63.189	27.803	43.140	286.25	19.160	5.5202	0.016755
143.29	0.75732	23.116	0.043260	1.8274	1.8601	14.428	31.050	62.229	1000.0	-0.17582	63.360	0.13872	0.0069679	0.74363	1.3448	7.8224	8.8408	63.145	27.817	43.212	286.26	19.127	5.5272	0.016791
143.46	0.76357	23.097	0.043296	1.8375	1.8706	14.499	31.042	62.286	998.08	-0.17365	63.165	0.13849	0.0069381	0.74962	1.3340	7.8243	8.8429	63.101	27.831	43.285	286.26	19.093	5.5343	0.016827
143.63	0.76985	23.078	0.043332	1.8477	1.8810	14.570	31.035	62.344	996.15	-0.17147	62.971	0.13825	0.0069084	0.75564	1.3234	7.8261	8.8449	63.057	27.845	43.358	286.27	19.060	5.5413	0.016863
143.79	0.77618	23.058	0.043368	1.8578	1.8915	14.641	31.027	62.403	994.23	-0.16928	62.777	0.13801	0.0068786	0.76170	1.3128	7.8279	8.8469	63.013	27.859	43.432	286.28	19.027	5.5484	0.016899
143.96	0.78254	23.039	0.043405	1.8680	1.9019	14.712	31.020	62.462	992.30	-0.16706	62.584	0.13777	0.0068489	0.76781	1.3024	7.8297	8.8489	62.968	27.874	43.506	286.28	18.993	5.5555	0.016936
144.12	0.78894	23.019	0.043442	1.8781	1.9124	14.782	31.012	62.521	990.37	-0.16484	62.392	0.13754	0.0068192	0.77395	1.2921	7.8315	8.8508	62.924	27.888	43.581	286.29	18.960	5.5626	0.016972
144.29	0.79537	23.000	0.043478	1.8883	1.9229	14.853	31.005	62.581	988.43	-0.16259	62.200	0.13730	0.0067896	0.78013	1.2818	7.8332	8.8528	62.880	27.902	43.657	286.29	18.928	5.5697	0.017009
144.46	0.80185	22.980	0.043515	1.8985	1.9334	14.924	30.998	62.641	986.50	-0.16033	62.009	0.13706	0.0067599	0.78635	1.2717	7.8350	8.8547	62.837	27.917	43.733	286.30	18.895	5.5768	0.017045
