Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
554.8585	6.583579	41.47736	0.02410954	22.28557	22.44430	55.56337	55.51577	95.85509	1004.225	0.1153195	92.87602	0.5787502	0.01859378	1.893806	0.5280372	46.56765	50.04402	105.3053	49.86658	92.82755	491.1346	12.48890	18.70451	0.06161015
555.4817	6.645316	41.41513	0.02414577	22.34296	22.50341	55.66717	55.49439	96.06950	1001.149	0.1181250	92.63119	0.5779130	0.01844830	1.913459	0.5226138	46.55750	50.03044	105.2224	49.98384	93.36319	490.8391	12.42818	18.73211	0.06188209
556.1049	6.707496	41.35263	0.02418226	22.40044	22.56264	55.77102	55.47324	96.28676	998.0633	0.1209637	92.38686	0.5770722	0.01830289	1.933308	0.5172481	46.54717	50.01661	105.1393	50.10156	93.90571	490.5396	12.36777	18.75983	0.06215662
556.7281	6.770119	41.28987	0.02421902	22.45801	22.62198	55.87494	55.45234	96.50692	994.9667	0.1238362	92.14303	0.5762279	0.01815755	1.953356	0.5119393	46.53665	50.00254	105.0561	50.21974	94.45522	490.2363	12.30766	18.78769	0.06243378
557.3514	6.833187	41.22684	0.02425605	22.51568	22.68143	55.97893	55.43168	96.73005	991.8598	0.1267430	91.89968	0.5753801	0.01801228	1.973606	0.5066867	46.52594	49.98822	104.9728	50.33840	95.01189	489.9290	12.24785	18.81569	0.06271363
557.9746	6.896704	41.16353	0.02429335	22.57345	22.74100	56.08298	55.41126	96.95620	988.7423	0.1296848	91.65681	0.5745286	0.01786708	1.994059	0.5014896	46.51503	49.97366	104.8893	50.45753	95.57586	489.6177	12.18833	18.84382	0.06299622
558.5978	6.960672	41.09995	0.02433093	22.63132	22.80068	56.18709	55.39109	97.18543	985.6143	0.1326622	91.41439	0.5736736	0.01772196	2.014719	0.4963471	46.50394	49.95885	104.8056	50.57713	96.14727	489.3025	12.12910	18.87210	0.06328161
559.2210	7.025092	41.03609	0.02436879	22.68929	22.86048	56.29128	55.37118	97.41781	982.4756	0.1356758	91.17242	0.5728149	0.01757691	2.035588	0.4912586	46.49264	49.94378	104.7217	50.69723	96.72629	488.9833	12.07016	18.90052	0.06356985
559.8443	7.089967	40.97196	0.02440694	22.74735	22.92040	56.39554	55.35153	97.65341	979.3263	0.1387262	90.93089	0.5719526	0.01743194	2.056668	0.4862233	46.48115	49.92846	104.6376	50.81781	97.31307	488.6600	12.01151	18.92908	0.06386100
560.4675	7.155299	40.90754	0.02444537	22.80552	22.98044	56.49987	55.33213	97.89228	976.1662	0.1418142	90.68977	0.5710867	0.01728705	2.077963	0.4812406	46.46946	49.91288	104.5534	50.93889	97.90778	488.3326	11.95313	18.95780	0.06415511
561.0907	7.221091	40.84283	0.02448410	22.86379	23.04059	56.60428	55.31300	98.13451	972.9953	0.1449403	90.44907	0.5702171	0.01714224	2.099474	0.4763098	46.45756	49.89704	104.4690	51.06047	98.51058	488.0011	11.89503	18.98667	0.06445226
561.7139	7.287345	40.77783	0.02452313	22.92217	23.10088	56.70877	55.29414	98.38015	969.8134	0.1481052	90.20877	0.5693438	0.01699752	2.121205	0.4714301	46.44547	49.88094	104.3844	51.18255	99.12166	487.6655	11.83721	19.01569	0.06475250
562.3372	7.354062	40.71254	0.02456246	22.98065	23.16128	56.81333	55.27554	98.62928	966.6206	0.1513098	89.96886	0.5684669	0.01685288	2.143159	0.4666010	46.43316	49.86457	104.2996	51.30514	99.74119	487.3257	11.77966	19.04487	0.06505590
562.9604	7.421246	40.64695	0.02460209	23.03924	23.22182	56.91798	55.25723	98.88199	963.4168	0.1545546	89.72932	0.5675863	0.01670833	2.165338	0.4618217	46.42065	49.84794	104.2146	51.42824	100.3694	486.9817	11.72237	19.07421	0.06536252
563.5836	7.488899	40.58107	0.02464203	23.09793	23.28248	57.02272	55.23919	99.13833	960.2018	0.1578404	89.49015	0.5667019	0.01656388	2.187745	0.4570916	46.40792	49.83103	104.1294	51.55187	101.0063	486.6334	11.66535	19.10371	0.06567243
564.2069	7.557023	40.51488	0.02468229	23.15674	23.34326	57.12754	55.22143	99.39841	956.9757	0.1611681	89.25132	0.5658138	0.01641951	2.210384	0.4524100	46.39498	49.81386	104.0440	51.67602	101.6524	486.2809	11.60860	19.13339	0.06598571
564.8301	7.625621	40.44838	0.02472287	23.21565	23.40418	57.23245	55.20397	99.66228	953.7383	0.1645382	89.01283	0.5649219	0.01627524	2.233258	0.4477763	46.38183	49.79640	103.9584	51.80071	102.3076	485.9240	11.55210	19.16323	0.06630242
565.4533	7.694694	40.38158	0.02476377	23.27468	23.46523	57.33745	55.18679	99.93005	950.4895	0.1679517	88.77467	0.5640263	0.01613107	2.256369	0.4431899	46.36846	49.77867	103.8726	51.92593	102.9722	485.5628	11.49586	19.19324	0.06662264
566.0765	7.764245	40.31446	0.02480500	23.33382	23.52641	57.44254	55.16991	100.2018	947.2294	0.1714094	88.53683	0.5631268	0.01598701	2.279721	0.4386502	46.35487	49.76065	103.7865	52.05169	103.6465	485.1973	11.43987	19.22344	0.06694644
566.6998	7.834277	40.24702	0.02484656	23.39308	23.58773	57.54773	55.15333	100.4776	943.9577	0.1749121	88.29928	0.5622236	0.01584304	2.303317	0.4341566	46.34105	49.74236	103.7003	52.17800	104.3307	484.8273	11.38413	19.25381	0.06727392
567.3230	7.904792	40.17927	0.02488846	23.45245	23.64918	57.65302	55.13706	100.7576	940.6744	0.1784606	88.06202	0.5613165	0.01569918	2.327160	0.4297084	46.32701	49.72377	103.6138	52.30487	105.0249	484.4528	11.32863	19.28437	0.06760514
567.9462	7.975793	40.11119	0.02493070	23.51193	23.71078	57.75841	55.12110	101.0418	937.3795	0.1820559	87.82504	0.5604056	0.01555542	2.351254	0.4253050	46.31275	49.70489	103.5270	52.43230	105.7295	484.0739	11.27338	19.31512	0.06794019
568.5694	8.047281	40.04278	0.02497329	23.57154	23.77251	57.86391	55.10545	101.3304	934.0729	0.1856987	87.58833	0.5594907	0.01541177	2.375602	0.4209459	46.29825	49.68572	103.4401	52.56029	106.4446	483.6904	11.21837	19.34605	0.06827916
569.1927	8.119259	39.97405	0.02501623	23.63127	23.83438	57.96951	55.09012	101.6234	930.7544	0.1893901	87.35186	0.5585720	0.01526824	2.400208	0.4166305	46.28352	49.66625	103.3529	52.68886	107.1706	483.3024	11.16360	19.37718	0.06862214
569.8159	8.191731	39.90497	0.02505953	23.69112	23.89640	58.07522	55.07512	101.9210	927.4240	0.1931310	87.11563	0.5576494	0.01512482	2.425075	0.4123583	46.26855	49.64648	103.2654	52.81801	107.9076	482.9098	11.10906	19.40852	0.06896921
570.4391	8.264697	39.83556	0.02510320	23.75109	23.95856	58.18104	55.06045	102.2232	924.0816	0.1969224	86.87963	0.5567228	0.01498152	2.450208	0.4081286	46.25335	49.62641	103.1777	52.94774	108.6559	482.5125	11.05476	19.44005	0.06932048
571.0623	8.338161	39.76580	0.02514724	23.81119	24.02087	58.28697	55.04611	102.5303	920.7271	0.2007652	86.64384	0.5557923	0.01483834	2.475609	0.4039410	46.23790	49.60603	103.0897	53.07806	109.4158	482.1105	11.00068	19.47179	0.06967605
571.6856	8.412125	39.69569	0.02519165	23.87141	24.08332	58.39302	55.03212	102.8422	917.3604	0.2046605	86.40825	0.5548578	0.01469528	2.501283	0.3997948	46.22221	49.58534	103.0015	53.20899	110.1877	481.7037	10.94682	19.50374	0.07003600
572.3088	8.486592	39.62523	0.02523645	23.93176	24.14593	58.49919	55.01847	103.1591	913.9815	0.2086092	86.17285	0.5539192	0.01455234	2.527234	0.3956895	46.20628	49.56433	102.9130	53.34052	110.9716	481.2923	10.89319	19.53591	0.07040046
572.9320	8.561564	39.55441	0.02528163	23.99224	24.20869	58.60549	55.00518	103.4811	910.5902	0.2126126	85.93762	0.5529766	0.01440953	2.553465	0.3916247	46.19009	49.54301	102.8242	53.47266	111.7681	480.8759	10.83978	19.56830	0.07076951
573.5553	8.637043	39.48324	0.02532720	24.05285	24.27161	58.71191	54.99225	103.8084	907.1864	0.2166717	85.70255	0.5520300	0.01426685	2.579982	0.3875997	46.17365	49.52137	102.7352	53.60542	112.5773	480.4548	10.78658	19.60091	0.07114329
574.1785	8.713033	39.41169	0.02537318	24.11360	24.33468	58.81846	54.97969	104.1411	903.7700	0.2207875	85.46763	0.5510793	0.01412431	2.606787	0.3836140	46.15696	49.49940	102.6458	53.73881	113.3997	480.0287	10.73359	19.63375	0.07152189
574.8017	8.789536	39.33978	0.02541957	24.17448	24.39791	58.92514	54.96750	104.4793	900.3410	0.2249614	85.23284	0.5501245	0.01398190	2.633885	0.3796673	46.14001	49.47710	102.5562	53.87284	114.2355	479.5976	10.68082	19.66682	0.07190544
575.4249	8.866554	39.26749	0.02546636	24.23550	24.46130	59.03196	54.95568	104.8232	896.8992	0.2291945	84.99817	0.5491655	0.01383962	2.661281	0.3757588	46.12279	49.45448	102.4663	54.00750	115.0851	479.1616	10.62825	19.70013	0.07229406
576.0482	8.944090	39.19481	0.02551358	24.29666	24.52485	59.13891	54.94426	105.1729	893.4446	0.2334879	84.76360	0.5482023	0.01369749	2.688980	0.3718882	46.10531	49.43151	102.3760	54.14282	115.9487	478.7205	10.57588	19.73369	0.07268788
576.6714	9.022147	39.12176	0.02556123	24.35795	24.58857	59.24601	54.93323	105.5285	889.9770	0.2378430	84.52913	0.5472350	0.01355550	2.716985	0.3680550	46.08756	49.40820	102.2855	54.27879	116.8269	478.2743	10.52371	19.76749	0.07308702
577.2946	9.100726	39.04831	0.02560930	24.41940	24.65246	59.35325	54.92260	105.8902	886.4963	0.2422611	84.29473	0.5462634	0.01341366	2.745302	0.3642586	46.06953	49.38455	102.1946	54.41544	117.7200	477.8230	10.47174	19.80155	0.07349162
577.9178	9.179832	38.97446	0.02565783	24.48098	24.71651	59.46064	54.91238	106.2582	883.0024	0.2467435	84.06040	0.5452876	0.01327197	2.773935	0.3604987	46.05123	49.36055	102.1034	54.55275	118.6284	477.3665	10.41997	19.83587	0.07390182
578.5411	9.259466	38.90022	0.02570680	24.54271	24.78074	59.56818	54.90258	106.6326	879.4952	0.2512915	83.82611	0.5443075	0.01313043	2.802890	0.3567746	46.03265	49.33620	102.0119	54.69075	119.5524	476.9047	10.36838	19.87045	0.07431776
579.1643	9.339632	38.82556	0.02575623	24.60459	24.84515	59.67587	54.89320	107.0137	875.9746	0.2559066	83.59186	0.5433231	0.01298905	2.832171	0.3530860	46.01379	49.31148	101.9201	54.82944	120.4925	476.4376	10.31698	19.90530	0.07473960
579.7875	9.420331	38.75050	0.02580612	24.66662	24.90973	59.78373	54.88425	107.4015	872.4405	0.2605903	83.35763	0.5423344	0.01284783	2.861784	0.3494324	45.99464	49.28641	101.8279	54.96883	121.4492	475.9652	10.26577	19.94042	0.07516747
580.4107	9.501566	38.67501	0.02585649	24.72881	24.97449	59.89175	54.87575	107.7962	868.8927	0.2653439	83.12341	0.5413412	0.01270676	2.891734	0.3458133	45.97520	49.26097	101.7354	55.10892	122.4228	475.4873	10.21474	19.97583	0.07560155
581.0340	9.583341	38.59910	0.02590734	24.79115	25.03943	59.99993	54.86770	108.1982	865.3312	0.2701692	82.88917	0.5403437	0.01256587	2.922026	0.3422283	45.95547	49.23516	101.6425	55.24974	123.4139	475.0040	10.16388	20.01152	0.07604200
581.6572	9.665659	38.52276	0.02595868	24.85365	25.10455	60.10829	54.86011	108.6074	861.7558	0.2750675	82.65491	0.5393417	0.01242514	2.952666	0.3386770	45.93543	49.20897	101.5492	55.39128	124.4230	474.5152	10.11320	20.04751	0.07648898
582.2804	9.748520	38.44599	0.02601052	24.91630	25.16987	60.21682	54.85299	109.0242	858.1663	0.2800406	82.42061	0.5383352	0.01228458	2.983660	0.3351588	45.91509	49.18240	101.4556	55.53356	125.4505	474.0208	10.06269	20.08380	0.07694268
